,term,definition
672,Nontraditional Bond,"The Nontraditional Bond category contains funds that pursue strategies divergent in one or more ways from conventional practice in the broader bond-fund universe. Many funds in this group describe themselves as ""absolute return"" portfolios, which seek to avoid losses and produce returns uncorrelated with the overall bond market; they employ a variety of methods to achieve those aims. Another large subset are self-described ""unconstrained"" portfolios that have more flexibility to invest tactically across a wide swath of individual sectors, including high-yield and foreign debt, and typically with very large allocations. Funds in the latter group typically have broad freedom to manage interest-rate sensitivity, but attempt to tactically manage those exposures in order to minimize volatility. The category is also home to a subset of portfolios that attempt to minimize volatility by maintaining short or ultra-short duration portfolios, but explicitly court significant credit and foreign bond market risk in order to generate high returns. Funds within this category often will use credit default swaps and other fixed income derivatives to a significant level within their portfolios."
673,Note,"A debt obligation similar to a bond, but with a maturity date less than five years from date of issue."
674,Offer Price,"The lowest price that a seller is willing to accept from a prospective buyer. In the case of a mutual fund with a sales charge, this price is the net asset value (NAV) plus the sales charge. In the case of no-load funds, it is the NAV."
675,Offering Date,The date on which a distribution of stocks or bonds will first be available to the public.
676,Opportunity Risk,The risk that a better opportunity may present itself after you have already committed your money elsewhere.
677,Option Adjusted Duration,"Option adjusted duration estimates how much a bond's price fluctuates with changes in comparable interest rates. If rates rise 1.00%, for example, a fund with a 5-year duration is likely to lose about 5.00% of its value. Other factors also can influence a bond fund's performance and share price. A bond fund's actual performance may differ.
Source: FMR Co."
678,Pacific/Asia ex-Japan Stock,"Pacific/Asia ex-Japan stock portfolios cover a wide geographic range. Most of these portfolios focus on export-oriented nations such as Hong Kong, Singapore, Taiwan, and Korea. These portfolios invest at least 70% of total assets in equities and invest at least 75% of stock assets in Pacific countries, with less than 10% in Japan."
679,Paper,Any short-term debt security.
680,Par,The nominal or face value of a security as given on the certificate or instrument. The par value is the amount on which interest payments are calculated.
681,Passive Management,The process or approach to operating or managing a fund in a passive or non-active manner typically with the goal of mirroring an index. These funds are often referred to as index funds and differ from mutual funds that are actively managed.
682,Payout Annuity,"When the assets in a tax-deferred annuity are converted into a guaranteed lifetime income, an annuity contract becomes a payout annuity. This is also known as asset becoming annuitized."
683,Performance,The results of an investment over a period of time.
685,Portfolio Data,"For Equity Funds, turnover rate is a measure of the fund's trading activity calculated by dividing total purchases or sales of portfolio securities (whichever is lower) by the fund's net assets.  For the fixed income investments, duration estimates how much a bond fund's price will change with a change in comparable interest rates  Weighted average maturity is a weighted average of all the maturities of the securities held in a fund. WAM can be used as a measure of sensitivity to interest rate changes and markets changes. For money market funds, weighted average life is the weighted average of the life of the securities held in a fund or portfolio and can be used as a measure of sensitivity to changes in liquidity and/or credit risk. Generally, the higher the value, the greater the sensitivity."
686,Portfolio Diversification,The makeup of a fund's portfolio expressed in terms of asset allocation and industry and sector diversification.
687,Portfolio Turnover Rate,"A measure of how frequently investments are bought and sold within an investment option over a period of time, typically one year. The portfolio turnover rate is usually expressed as a percentage of the total value of an investment option."
688,Portfolio Weight,The percentage of a specific security or asset type that is contained in a mutual fund.
689,Premium,The amount by which a bond sells above its par (face) value.
690,Present Value,"The value at the current time of a cash payment which is expected to be received in the future, discounted to reflect the fact that an amount received today could be invested to earn interest for the period to the future date."
691,Price/Book,The ratio of a company's current share price to reported accumulated profits and capital.
692,Price/Cash Flow,The ratio of a company's current share price to reported cash flow.
693,Primary Market (New Issue Market),"The market on which newly issued securities are sold, including government security auctions and underwriting purchases of blocks of new issues, which are then resold."
695,Prospectus,"The official document that describes an investment to prospective investors. The prospectus contains information required by the SEC, such as investment objectives and policies, risks, services, and fees."
696,Quantitative Funds,"Mutual funds whose portfolio management decisions are based on quantitative analysis, which is usually developed using computerized statistical models of market behavior."
697,Quarter-End Average Annual Total Returns,"Quarter-end Average annual total return is a rate of return on a quarterly basis that, if achieved annually, would have produced the same cumulative total return if performance had been constant over the entire period. Average annual total returns smooth out variation in performance; they are not the same as actual year-by-year results."
698,R2,"A measurement of how closely the portfolio's performance correlates with the performance of a benchmark index, such as the S&P 500. R2 is a proportion which ranges between 0.00 and 1.00. An R2 of 1.00 indicates perfect correlation to the benchmark index, that is, all of the portfolio's fluctuations are explained by performance fluctuations of the index, while an R2 of 0.00 indicates no correlation. Therefore, the lower the R2, the more the fund's performance is affected by factors other than the market as measured by that benchmark index."
699,Rate Information,"Displays payment data for an annuity, including the current and guaranteed payment rate and the period of time that the issuing company agrees to make payments."
700,Rate of Return,The gain or loss on an investment over a period of time. The rate of return is typically reported on an annual basis and expressed as a percentage.
701,Ratings,Designations used by investors' services to give relative indications of credit quality.
702,Real Estate,"Real estate portfolios invest primarily in real estate investment trusts of various types. REITs are companies that develop and manage real estate properties. There are several different types of REITs, including apartment, factory-outlet, health-care, hotel, industrial, mortgage, office, and shopping center REITs. Some portfolios in this category also invest in real estate operating companies."
703,Real Estate Investment Trust - REIT,"A company, usually traded publicly, that manages a portfolio for real estate to earn profits for shareholders."
704,Real Rate of Return,Rate of return on an investment adjusted for inflation.
705,Rebalance,The process of moving money from one type of investment to another to maintain a desired asset allocation.
706,Redemption,To sell fund shares back to the fund.  Redemption can also mean the repayment of a bond on or before the agreed upon pay-off date.
707,Redemption Fee,See Short-Term Redemption Fee.
708,Regional Diversification,"Holdings are presented to illustrate examples of the countries or regions which the fund may invest, and may not be representative of the fund's current or future investments. Percentages are displayed for the top sectors as of the countries or regions as of the date stated. Percentages shown describe the portion of the fund's total net assets, unless otherwise stated."
709,Reinvesting,"Using any dividends, interest and capital gains earned in an investment or mutual fund to purchase additional shares or units."
710,Reinvestment Price,"The price at which additional shares of a fund are purchased using the proceeds of money distributed by that fund, usually in the form of capital gains or dividends."
711,Relative Volatility,A ratio of a portfolio's standard deviation to the standard deviation of a benchmark index.
712,Retirement Income,"Retirement income portfolios provide a mix of stocks, bonds, and cash for those investors already in or entering retirement. These portfolios tend to be managed to more of a conservative asset-allocation strategy. These portfolios aim to provide investors with steady income throughout retirement."
713,Return,"The gain or loss on an investment. A positive return indicates a gain, and a negative return indicates a loss."
714,Return Before Taxes,"Return before taxes is a measure of a fund's performance over a given time frame before accounting for the effect of taxes. Dividends generated by, and distributions made on, an investment, as well as gain or losses recognized upon sale of an investment, may be taxable. Taxes may reduce the value of the dividend, distribution or sale proceeds in the hands of the investor. As each investor's tax situation may differ, return before taxes provide a valuable benchmark against which an investor can easily compare the return before taxes of other investments without regard to tax consequences. Unless otherwise noted, returns are adjusted for all applicable recurring and non-recurring fees (including redemption fees), loads and charges, if any."
715,Risk of this Category,"The Morningstar Risk statistic evaluates the fund's downside volatility relative to that of other funds in its broad investment category. Morningstar uses a proprietary risk measure that operates differently from traditional risk measures, such as beta and standard deviation, which see both greater- and less than-expected returns as added volatility. Morningstar believes that most investors' greatest fear is losing money, defined as underperforming the risk-free rate of return an investor can earn from the 90-day Treasury bill, so its risk measure focuses only on that downside risk. To calculate the risk score, Morningstar plots monthly fund returns in relation to T-Bill returns. The amounts by which the fund trails the T-Bill return is added each month and that total is divided by the period's total number of months. This number, the average monthly underperformance statistic, is then compared with those of other funds in the same broad investment category to assign a risk score. The resulting risk score expresses how risky the fund is relative to the average fund in its category. Note that Morningstar does not rate any fund that has less than three years of performance data."
717,Sales Charge,A charge for buying an investment.
718,Sales Load,A fee charged when you purchase shares in a mutual fund. It calculated as a percentage of the fund's offering price.
719,Secondary Beneficiary,The person or persons designated to receive death benefits in the event that the primary beneficiary predeceases the participant.
720,Secondary Market,The market for securities previously offered or sold.
721,Sector Allocation,"That portion of a fund which invests in narrowly defined segments of the economy, i.e. utilities, healthcare services, telecommunications, etc."
722,Sector Diversification,This data represents the industries in which a fund invests.
723,Sector Funds,"Sector funds invest in the stocks of one specific sector of the economy, such as health care, chemicals, or retailing. These funds tend to be more volatile than funds holding a diversified portfolio of stocks in many industries."
726,Self-Directed Brokerage Account,"An account in which a plan participant makes individual decisions about what stocks, bonds and mutual funds to buy through a brokerage window."
727,Separate Account,An insurance company account that is segregated or separate from the insurance company's general assets. Also refers to an investment option managed by an investment adviser for a single plan.
729,Share Class,"Some mutual funds and companies offer more than one type or group of shares, each of which is considered a class (e.g., ""Class A,"" ""Advisor"" or ""Institutional"" shares). For mutual funds each class has different fees and expenses but all the classes invest in the same pool of securities and have the same investment objectives. A mutual fund's prospectus provides details regarding fees and expenses."
730,Share Price,"The value of one share of either a stock or mutual fund. The share prices of stocks are recalculated throughout the trading today. With most mutual funds, the share price is calculated at the end of each trading day in response to  movements of the securities in which the fund invests."
731,Shareholder,The owner of one or more shares of stock in a corporation or one or more shares or units of a mutual fund.
732,Shareholder-Fees,"Any fee charged against your investment for purchase and sale, other than the total annual operating expenses."
733,Sharpe Ratio (3-Year),"The Sharpe ratio is a measure of historical adjusted performance calculated by dividing the fund's excess returns (fund's average monthly returns minus the average monthly return of the Salomon Smith Barney 3-Month T-Bill Index) by the standard deviation of those returns. The higher the ratio, the better the fund's return per unit of risk."
734,Short Government,"Short-government portfolios have at least 90% of their bond holdings in bonds backed by the U.S. government or by government-linked agencies. This backing minimizes the credit risk of these portfolios, as the U.S. government is unlikely to default on its debt. These portfolios have durations typically between 1.0 and 3.5 years, so they have relatively less sensitivity to interest rates and, thus, low risk potential. Morningstar calculates monthly breakpoints using the effective duration of the Morningstar Core Bond Index in determining duration assignment. Short is defined as 25% to 75% of the three-year average effective duration of the MCBI."
735,Short-Term Bond,"Short-term bond portfolios invest primarily in corporate and other investment-grade U.S. fixed income issues and typically have durations of 1.0 to 3.5 years. These portfolios are attractive to fairly conservative investors, because they are less sensitive to interest rates than portfolios with longer durations. Morningstar calculates monthly breakpoints using the effective duration of the Morningstar Core Bond Index in determining duration assignment. Short-term is defined as 25% to 75% of the three-year average effective duration of the MCBI."
736,Short-Term Redemption Fee,"This fee is charged when money is withdrawn from a fund within a specified time period deemed ""short-term,"" by the fund, commonly 30, 180, or 365 days. Please refer to the fund's prospectus for further details."
737,Short-Term Redemption Fee Period,"The length of time a Short Term Redemption Fee is in effect, commonly 30, 180, or 365 days."
738,Small Blend,Small-blend portfolios favor U.S. firms at the smaller end of the market-capitalization range. Some aim to own an array of value and growth stocks while others employ a discipline that leads to holdings with valuations and growth rates close to the small-cap averages. Stocks in the bottom 10% of the capitalization of the U.S. equity market are defined as small cap. The blend style is assigned to portfolios where neither growth nor value characteristics predominate.
739,Small Capitalization (Cap),A reference to either a small company stock or mutual fund that invests in the stocks of small companies. A company is generally considered small when it has a total value or market capitalization (dollar value of outstanding shares) of less than $2 billion.
740,Small Growth,"Small-growth portfolios focus on faster-growing companies whose shares are at the lower end of the market-capitalization range. These portfolios tend to favor companies in up-and-coming industries or young firms in their early growth stages. Because these businesses are fast growing and often richly valued, their stocks tend to be volatile. Stocks in the bottom 10% of the capitalization of the U.S. equity market are defined as small cap. Growth is defined based on fast growth (high growth rates for earnings, sales, book value, and cash flow) and high valuations (high price ratios and low dividend yields)."
741,Small Value,"Small-value portfolios invest in small U.S. companies with valuations and growth rates below other small-cap peers. Stocks in the bottom 10% of the capitalization of the U.S. equity market are defined as small cap. Value is defined based on low valuations (low price ratios and high dividend yields) and slow growth (low growth rates for earnings, sales, book value, and cash flow)."
742,Small-Cap Funds,"The securities of smaller, less-known companies may be more volatile than those of larger companies."
743,Small-cap Stocks,An investment categorization based on the market capitalization of a company.
744,Source,"A source is the origin of your money in your retirement plan. Examples of sources include: employee contribution (the money you contribute), company match (the money your employer may contribute), and rollover money (the money that you may have rolled over into this plan from a prior employer's qualified retirement plan or an IRA)."
745,Stable Value,"Stable-value portfolios seek to provide income while preventing price fluctuations. The most common stable-value portfolios invest in a diversified portfolio of bonds and enter into wrapper agreements with financial companies to guarantee against fluctuations in their share prices. These wrapper agreements typically provide price stability on a day-to-day basis, thereby insulating each portfolio's net asset value from interest-rate volatility. Therefore, the duration for each of these funds is essentially zero. This category is only used in Morningstar's custom fund and separate account databases."
746,Stable Value Fund,A type of investment option that is designed to preserve principal while providing a consistent rate of return. Stable value funds invest primarily in fixed-income securities.
747,Standard Deviation,"Statistical measure of how much a return varies over an extended period of time. A higher standard deviation indicates a wider dispersion of past returns and thus greater historical volatility. Standard deviation does not indicate how an investment actually performed, but it does indicate the volatility of its returns over time."
749,Stock Commissions,"Shows the trading costs incurred by funds, with the breakdown showing how different share quantities result in different commission rates."
750,Stock Fund,A fund that invests primarily in stocks.
752,Style,"Equity or stock funds are generally divided into three categories: Growth, Value, or Blend, which represents a combination of the two. The term growth is based on fast growth (high growth rates for earnings, sales, book value, and cash flow) and high valuations (high price ratios and low dividend yields). The term value is based on low valuations (low price ratios and high dividend yields) and slow growth (low growth rates for earnings, sales, book value, and cash flow) that are expected to increase over time."
753,Style Spectrum,"While ""Style Spectrum"" is not a term of art, it refers generally to the range of ""growth vs. value"" comparisons that many investors and advisory institutions use in understanding a mutual fund's investment style. To say that a fund is invested ""across the style spectrum"" indicates that it holds notable commitments to growth stocks, value stocks, and partial growth/value stocks."
754,StyleMap,"StyleMap®depictions of mutual fund characteristics produced using data and calculations provided by Morningstar, Inc. StyleMapsSM estimate characteristics of a fund's equity holdings over two dimensions: market capitalization and valuation. The percentage of fund assets represented by these holdings is indicated beside each StyleMap. Current StyleMap characteristics are calculated each time Morningstar receives updated portfolio holdings from a fund and are denoted with a dot. Historical StyleMap characteristics are calculated for the shorter of either the past three years or the life of the fund, and are represented by the shading of the box(es) previously occupied by the dot. StyleMap characteristics represent an approximate profile of the fund's equity holdings (e.g., domestic stocks, foreign stocks, and American Depositary Receipts), are based on historical data, and are not predictive of the fund's future investments. Although the data are gathered from reliable sources, accuracy and completeness cannot be guaranteed."
755,Summary Plan Description (SPD),"A detailed, reader-friendly description of benefit plan provisions that must be provided to plan participants and beneficiaries."
756,Summary Prospectus,A short-form prospectus that mutual funds generally may use with investors if they make the long-form prospectus and additional information available online or in paper upon request.
757,Surrender Penalty,"The amount of money an investor must pay when withdrawing funds from an annuity before a set period of time has transpired, often known as the Surrender Period."
758,Takeover,A change in the controlling interest of a corporation. A takeover may be a friendly acquisition or a hostile bid. A hostile takeover is usually attempted through a public tender offer.
759,Target Date Fund,A fund designed to provide varying degrees of long-term appreciation and capital preservation based on a target retirement date through a mix of asset classes. The mix changes over time to become less focused on growth and more focused on income. Also known as a lifecycle fund.
760,Target Risk Fund,"A fund that maintains a predetermined asset mix and generally uses words such as ""conservative,"" ""moderate,"" or ""aggressive"" in its name to indicate the fund's risk level. Often used interchangeably with ""lifestyle fund."
761,Target-Date 2000-2010,"Target-date portfolios provide diversified exposure to stocks, bonds, and cash for those investors who have a specific date in mind (in this case, the years 2000-2010) for retirement. These portfolios aim to provide investors with an optimal level of return and risk, based solely on the target date. Management adjusts the allocation among asset classes to more conservative mixes as the target date approaches, following a preset glide path. A target-date portfolio is part of a series of funds offering multiple retirement dates to investors."
762,Target-Date 2011-2015,"Target-date portfolios provide diversified exposure to stocks, bonds, and cash for those investors who have a specific date in mind (in this case, the years 2011-2015) for retirement. These portfolios aim to provide investors with an optimal level of return and risk, based solely on the target date. Management adjusts the allocation among asset classes to more conservative mixes as the target date approaches, following a preset glide path. A target-date portfolio is part of a series of funds offering multiple retirement dates to investors."
763,Target-Date 2016-2020,"Target-date portfolios provide diversified exposure to stocks, bonds, and cash for those investors who have a specific date in mind (in this case, the years 2016-2020) for retirement. These portfolios aim to provide investors with an optimal level of return and risk, based solely on the target date. Management adjusts the allocation among asset classes to more conservative mixes as the target date approaches, following a preset glide path. A target-date portfolio is part of a series of funds offering multiple retirement dates to investors."
764,Target-Date 2021-2025,"Target-date portfolios provide diversified exposure to stocks, bonds, and cash for those investors who have a specific date in mind (in this case, the years 2021-2025) for retirement. These portfolios aim to provide investors with an optimal level of return and risk, based solely on the target date. Management adjusts the allocation among asset classes to more conservative mixes as the target date approaches, following a preset glide path. A target-date portfolio is part of a series of funds offering multiple retirement dates to investors."
765,Target-Date 2026-2030,"Target-date portfolios provide diversified exposure to stocks, bonds, and cash for those investors who have a specific date in mind (in this case, the years 2026-2030) for retirement. These portfolios aim to provide investors with an optimal level of return and risk, based solely on the target date. Management adjusts the allocation among asset classes to more conservative mixes as the target date approaches, following a preset glide path. A target-date portfolio is part of a series of funds offering multiple retirement dates to investors."
766,Target-Date 2031-2035,"Target-date portfolios provide diversified exposure to stocks, bonds, and cash for those investors who have a specific date in mind (in this case, the years 2031-2035) for retirement. These portfolios aim to provide investors with an optimal level of return and risk, based solely on the target date. Management adjusts the allocation among asset classes to more conservative mixes as the target date approaches, following a preset glide path. A target-date portfolio is part of a series of funds offering multiple retirement dates to investors."
767,Target-Date 2036-2040,"Target-date portfolios provide diversified exposure to stocks, bonds, and cash for those investors who have a specific date in mind (in this case, the years 2036-2040) for retirement. These portfolios aim to provide investors with an optimal level of return and risk, based solely on the target date. Management adjusts the allocation among asset classes to more conservative mixes as the target date approaches, following a preset glide path. A target-date portfolio is part of a series of funds offering multiple retirement dates to investors."
768,Target-Date 2041-2045,"Target-date portfolios provide diversified exposure to stocks, bonds, and cash for those investors who have a specific date in mind (in this case, the years 2041-2045) for retirement. These portfolios aim to provide investors with an optimal level of return and risk, based solely on the target date. Management adjusts the allocation among asset classes to more conservative mixes as the target date approaches, following a preset glide path. A target-date portfolio is part of a series of funds offering multiple retirement dates to investors."
769,Target-Date 2046-2050,"Target-date portfolios provide diversified exposure to stocks, bonds, and cash for those investors who have a specific date in mind (in this case, the years 2046-2050) for retirement. These portfolios aim to provide investors with an optimal level of return and risk, based solely on the target date. Management adjusts the allocation among asset classes to more conservative mixes as the target date approaches, following a preset glide path. A target-date portfolio is part of a series of funds offering multiple retirement dates to investors."
770,Target-Date 2051+,"Target-date portfolios provide a diversified exposure to stocks, bonds, and cash for those investors who have a specific date in mind (in this case, the years 2051 and beyond) for retirement. These portfolios aim to provide investors with an optimal level of return and risk, based solely on the target date. Management adjusts the allocation among asset classes to more-conservative mixes as the target date approaches, following a preset glide path. A target- date portfolio is part of a series of funds offering multiple retirement dates to investors."
771,Targeted International Equity Funds,"Mutual funds that invest in stocks issued by companies located in specific countries or regions around the world. These funds can be divided into two general subcategories: 
Country/region funds generally invest in companies located in a specific country or geographical area, such as Germany or Asia-Pacific. 
Emerging market funds focus on the world's developing countries, where rapid industrialization may offer high potential gains, but may also lead to extreme volatility."
772,Taxable Money Market,These portfolios invest in short-term money market securities in order to provide a level of current income that is consistent with the preservation of capital.
773,Tax-deferred Annuity,"An insurance contract, issued by an insurance company, that allows you to accumulate savings on a tax-deferred basis for long-term goals, such as retirement. There are fixed and variable tax-deferred annuities.
With a fixed-deferred annuity, your savings earn a set rate of return, which is guaranteed by the issuing insurance company for a specific period of time. You choose an interest rate for a period of time, usually ranging from 1 to 10 years. 
With a variable-deferred annuity, you choose how to allocate the assets in your annuity among a number of managed portfolios, with options ranging from very conservative to very aggressive. You will have the flexibility to change your portfolio's allocations as your situation or market conditions change. Once you're retired and need income, you can turn the money accumulated in your annuity into a regular stream of income, or take partial withdrawals as the need arises."
774,Tax-Free Money Market,These portfolios invest in short-term municipal money market securities that are often exempt from some federal and state taxes. These funds provide current income and aim to preserve capital.
775,Technicals,"Short-term trends that technical analysts can sometimes identify as significant in the price movement of a security or a commodity. Such trends may be in the demand and supply for securities, options, mutual funds, and commodities based on trading volume and price studies. Technical analysis is generally not concerned with the financial position of a company."
776,Technology,"Technology portfolios buy high-tech businesses in the U.S. or outside of the U.S. Most concentrate on computer, semiconductor, software, networking, and Internet stocks. A few also buy medical-device and biotechnology stocks, and some concentrate on a single technology industry."
777,Term,The lifespan assigned to an asset or liability.
780,Top 10 Holdings,"The 10 holdings in which this fund had its largest investments, as of the date shown. For Fidelity funds, this information is updated monthly, with a one-month lag. For other funds, this information may be updated in this same timeframe or on a quarterly basis."
781,Top 5 Issuers,The top five bond issuers represented in the holdings of a fund.
782,Top 5 States,The top five states represented in the bond holdings of a fund.
783,Total Annual Operating Expenses,"From the investor's perspective, this is the cost or part of the cost of investing in a mutual fund. From the mutual fund provider's perspective, this is the cost of operating the mutual fund. The total annual operating expense is generally expressed as a percentage or in basis points and is often also called the ""expense ratio""."
784,Total Net Assets,"The figure is recorded in millions of dollars and represents the fund's total asset base, net of fees, and expenses, as of the indicated date included in the results matrix."
785,Total Number of Holdings,The aggregate number of all unique securities held in a mutual fund.
786,Total Return,"Return on an investment, taking into account capital appreciation, dividends or interest, and individual tax considerations adjusted for present value and expressed on an annual basis."
787,Trading Fee,"A fee you pay when you redeem, or sell, your shares. Not all funds charge trading fees."
788,Trading Fee Period,A period specified by a mutual fund during which you will be charged a fee for redeeming shares in the fund.
789,Trading Symbol,See Ticker Symbol.
790,Trading-Inverse Commodities,"These funds seek to generate returns equal to an inverse multiple of short-term returns of a commodity index. The compounding of short-term returns results in performance that does not correspond to those of investing in the index with external leverage. For example, a fund attempting to achieve negative 2 times the returns of a given index on a daily basis is unlikely to deliver anything like negative 2 times the index's returns over periods longer than one day. Many of these funds seek to generate a multiple typically negative 1 to negative 3 times of the daily or weekly return of the reference index. Trading funds are not considered suitable for a long-term investor and are designed to be used by active traders."
791,Trading-Inverse Debt,"These funds seek to generate returns equal to an inverse fixed multiple of short-term returns of a fixed-income index. The compounding of short-term returns results in performance that does not correspond to those of investing in the index with external leverage. For example, a fund attempting to achieve negative 2 times the returns of a given index on a daily basis is unlikely to deliver anything like negative 2 times the index's returns over periods longer than one day. Many of these funds seek to generate a multiple typically negative 1 to negative 3 times of the daily or weekly return of the reference index. Trading funds are not considered suitable for a long-term investor and are designed to be used by active traders."
792,Trading-Inverse Equity,"These funds seek to generate returns equal to an inverse fixed multiple of short-term returns of an equity index. The compounding of short-term returns results in performance that does not correspond to those of investing in the index with external leverage. For example, a fund attempting to achieve negative 2 times the returns of a given index on a daily basis is unlikely to deliver anything like negative 2 times the index's returns over periods longer than one day. Many of these funds seek to generate a multiple typically negative 1 to negative 3 times the daily or weekly return of the reference index. Trading funds are not considered suitable for a long-term investor and are designed to be used by active traders."
793,Trading-Leveraged Commodities,"These funds seek to generate returns equal to a fixed multiple of short-term returns of a commodity index. The compounding of short-term returns results in performance that does not correspond to those of investing in the index with external leverage. For example, a fund attempting to achieve 2 times the returns of a given index on a daily basis is unlikely to deliver anything like 2 times the index's returns over periods longer than one day. Many of these funds seek to generate a multiple of the daily or weekly return of the reference index. Trading funds are not considered suitable for a long-term investor and are designed to be used by traders."
794,Trading-Leveraged Debt,"These funds seek to generate returns equal to a fixed multiple of the short-term returns of a fixed-income index. The compounding of short-term returns results in performance that does not correspond to those of investing in the index with external leverage. For example, a fund attempting to achieve 2 times the returns of a given index on a daily basis is unlikely to deliver anything like 2 times the index's returns over periods longer than one day. Many of these funds seek to generate a multiple of the daily or weekly return of the reference index. Trading funds are not considered suitable for a long-term investor and are designed to be used by active traders."
795,Trading-Leveraged Equity,"These funds seek to generate returns equal to a fixed multiple of the short-term returns of an equity index. The compounding of short-term returns results in performance that does not correspond to those of investing in the index with external leverage. For example, a fund attempting to achieve 2 times the returns of a given index on a daily basis is unlikely to deliver anything like 2 times the index's returns over periods longer than one day. Many of these funds seek to generate a multiple of the daily or weekly return of the reference index. Trading funds are not considered suitable for a long-term investor and are designed to be used by active traders."
796,Trading-Miscellaneous,"These funds seek to generate returns equal to a fixed multiple (positive or negative) of short-term returns of an index. The reference index for this category is not equity, fixed-income, or commodity linked. The compounding of short-term returns results in performance that does not correspond to those of investing in the index with external leverage. For example, a fund attempting to achieve 2 times the returns of a given index on a daily basis is unlikely to deliver anything like 2 times the index's returns over periods longer than one day. Many of these funds seek to generate a multiple of the daily or weekly return of the reference index. Trading funds are not considered suitable for a long-term investor and are designed to be used by active traders."
797,Trustee,"A person or entity (e.g., bank, trust company, or other organization) that is responsible for the safekeeping of trust assets."
798,Turnover Rate,See Portfolio Turnover Rate.
799,U.S. Treasury Securities,"Debt securities issued by the U.S. government and secured by its full faith and credit for the prompt payment of principal and interest at maturity. Treasury securities are the debt financing instruments of the United States Federal government, and they are often referred to simply as Treasuries."
800,U.S. Treasury STRIPS,Zero-coupon bonds which pay principal and interest on maturity. Each fund compares its performance to the average of the total returns of two U.S. Treasury STRIPS (evenly weighted by par amount) that mature close to the fund's target maturity dates (August 15 and November 15 of the appropriate year).
801,Ultrashort Bond,"Ultrashort-bond portfolios invest primarily in investment-grade U.S. fixed-income issues and have durations typically of less than one year. This category can include corporate or government ultrashort bond portfolios, but it excludes international, convertible, multisector, and high-yield bond portfolios. Because of their focus on bonds with very short durations, these portfolios offer minimal interest-rate sensitivity and therefore low risk and total return potential. Morningstar calculates monthly breakpoints using the effective duration of the Morningstar Core Bond Index in determining duration assignment. Ultrashort is defined as 25% of the three year average effective duration of the MCBI."
802,Unit,A representation of ownership in an investment that does not issue shares.
803,US Dollar,"The US Dollar Index is an average of six major world exchange rates providing a general indication of the international value of the US dollar. The Intercontinental Exchange determines the value of the US Dollar Index by averaging the exchange rates between the USD and the euro, Japanese yen, British pound, Canadian dollar, Swedish krona and Swiss franc. The US Dollar Index is computed using a trade-weighted geometric average of six currencies."
804,Utilities,"Utilities portfolios seek capital appreciation by investing primarily in equity securities of U.S. or non-U.S. public utilities including electric, gas, and telephone-service providers."
805,Value,"A style of equity investing. A fund is said to be a value fund if it holds securities that have low valuations (low price ratios and high dividend yields) and slow growth (low growth rates for earnings, sales, book value, and cash flow) that are expected to increase over time."
806,Value Date,The date on which a foreign exchange transaction or a cash movement takes place. Can be used interchangeably with settlement date.
807,Value Fund,A fund that invests primarily in stocks that are believed to be priced below what they are really worth.
808,Value Stocks,"Stocks that are considered to be undervalued based upon such ratios as price-to-book or price-to-earnings (P/E). These stocks generally have lower price-to-book and price-earnings ratios, higher dividend yields and lower forecasted growth rates than growth stocks."
809,Variable Annuity,An annuity where the customer has a choice where his contract value will be invested and which provides (with the exception of any minimum payment which may be guaranteed by an insurance company) that the customer bears the investment risks and receives the actual investment performance less certain charges.
810,Variable Return Investment,Investments for which the return is not fixed. This term includes stock and bond funds and also investments that seek to preserve principal like money market funds and stable value funds but do not guarantee a particular return.
812,Volatility Measures,"Volatility measures are based on the variability of historical returns of the portfolio. In the case of annuity funds, this is before the effect of annuity charges. Relative Volatility, Beta, and R2 compare a portfolio's total return to those of a relevant market, represented by the benchmark index. Standard Deviation is calculated independent of an index."
813,Weighted Average Life (WAL),"For money market funds, this is the weighted average of the life of the securities held in a fund or portfolio and can be used as a measure of sensitivity to changes in liquidity and/or credit risk. Generally, the higher the value, the greater the sensitivity. WAL is based on the dollar-weighted average length of time until principal payments must be paid, taking into account any call options exercised by the issuer and any permissible maturity shortening features other than interest rate resets. For money market funds, the difference between WAM and WAL is that WAM takes into account interest rate resets and WAL does not. WAL for money market funds is not the same as WAL of a mortgage- or asset-backed security."
814,Weighted Average Maturity (WAM),"This is a weighted average of all the maturities of the securities held in a fund. WAM can be used as a measure of sensitivity to interest rate changes and markets changes. Generally, the longer the maturity, the greater the sensitivity to such changes. WAM is based on the dollar-weighted average length of time until principal payments must be paid. Depending on the types of securities held in a fund, certain maturity shortening devices (e.g., demand features, interest rate resets, and call options) may be taken into account when calculating the WAM."
815,Withholding Tax,"A tax assessed by the relevant tax authority on distributions, including dividends and capital gains. Tax rates of withholding amounts vary by transaction."
816,World Allocation,"World-allocation portfolios seek to provide both capital appreciation and income by investing in three major areas: stocks, bonds, and cash. While these portfolios do explore the whole world, most of them focus on the U.S., Canada, Japan, and the larger markets in Europe. It is rare for such portfolios to invest more than 10% of their assets in emerging markets. These portfolios typically have at least 10% of assets in bonds, less than 70% of assets in stocks, and at least 40% of assets in non-U.S. stocks or bonds."
